Organization Name,Founded Date,Headquarters Location,Headquarters City,Headquarters State,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,Twitter Followers,Instagram Followers,Linkedin Followers,CEO Connections,CEO_Connections_Dummy,Total Funding Currency,Total Funding Amount Clean,Last Funding Currency,Last Funding Amount Clean,fx,fx_source,fx_rate,Total Funding Amount (converted),Last Funding Amount (converted),Organization Age
beeBlum,2020-02-20,"Wiesloch, Baden-Wurttemberg,",Wiesloch,Baden-Wurttemberg,"B2B, Collaboration, Innovation Management,,,,",1-10,1,"€200,000",Pre-Seed,2019-10-04,"€200,000",,,Ideation & Knowledge work framework for agile teams and corporations,B2B,beeBlum B2B startup website,,,,,0,€,200000.0,€,200000.0,1.12,historical,1.12,200000.0,200000.0,4
meinAdmin,2020-01-01,"Leipzig, Sachsen, Germany",Leipzig,Sachsen,"Information Technology, Machine Learning,",11-50,1,"€280,000",Pre-Seed,2019-12-15,"€280,000",1.0,,meinAdmin provides AI driven managed services.,Information Technology,meinAdmin Information Technology startup website,,130.0,22.0,303.0,0,€,280000.0,€,280000.0,1.12,historical,1.12,280000.0,280000.0,5
boost,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,"Artificial Intelligence (AI), Computer Vision,,,,,",1-10,1,"€120,000",Pre-Seed,2020-01-01,"€120,000",,,ai based personal fitness assistant,Artificial Intelligence (AI),boost Artificial Intelligence (AI) startup website,,,23000.0,500.0,1,€,120000.0,€,120000.0,1.12,historical,1.12,120000.0,120000.0,5
VAMOS.ai,2020-01-01,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,"Analytics, Artificial Intelligence (AI),,",11-50,1,,Seed,2020-01-01,,1.0,,VAMOS.ai offers video analytics and media optimization services.,Analytics,VAMOS.ai Analytics startup website,,8.0,123.0,112.0,0,,,,,1.12,historical,1.12,,,5
Sanos Group,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Consumer Applications, Health Care",11-50,1,"€250,000",Pre-Seed,2020-01-07,"€250,000",,,Technology enabled smoking cessation platform,Consumer Applications,Sanos Group Consumer Applications startup website,,,135.0,363.0,0,€,250000.0,€,250000.0,1.12,historical,1.12,250000.0,250000.0,5
Samdock,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,"Apps, CRM, Machine Learning,,,,",11-50,1,"€1,500,000",Seed,2020-02-01,"€1,500,000",1.0,1.0,"Samdock is a SaaS vendor for Sales Automation, Lead Management and CRM focused on the SMB market",Apps,Samdock Apps startup website,,,2000.0,500.0,1,€,1500000.0,€,1500000.0,1.11,historical,1.11,1500000.0,1500000.0,5
Terranigma Solutions,2020-03-01,"Aachen, Nordrhein-Westfalen,",Aachen,Nordrhein-Westfalen,Machine Learning,1-10,1,"€30,000",Pre-Seed,2020-03-01,"€30,000",1.0,,We bring your geological understanding to the next level.,Machine Learning,Terranigma Solutions Machine Learning startup website,107.0,,754.0,500.0,1,€,30000.0,€,30000.0,1.11,historical,1.11,30000.0,30000.0,4
U-Pax,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,"Apps, Delivery Service, E-Commerce,",11-50,1,"€1,000,000",Series A,2020-03-02,"€1,000,000",1.0,,U-Pax develops an app-based shopping platform that enables users to buy local products online.,Apps,U-Pax Apps startup website,,145.0,,,0,€,1000000.0,€,1000000.0,1.11,historical,1.11,1000000.0,1000000.0,5
Nonfig,2020-03-01,"Berlin, Berlin, Germany",Berlin,Berlin,"B2B, Content Marketing, Software",1-10,1,,Pre-Seed,2020-03-10,,,,Nonfig is a configuration management platform that unifies business configurations.,B2B,Nonfig B2B startup website,10.0,,152.0,151.0,0,,,,,1.14,historical,1.14,,,4
MARA,2020-03-31,"Karlsruhe, Baden-Wurttemberg,",Karlsruhe,Baden-Wurttemberg,"Analytics, Artificial Intelligence (AI),,,,,,,,",1-10,1,"€147,000",Pre-Seed,2020-04-01,"€147,000",1.0,,"Market research automation, SaaS, NLP, AI, consumer review analysis",Analytics,MARA Analytics startup website,,,3000.0,500.0,1,€,147000.0,€,147000.0,1.1,historical,1.1,147000.0,147000.0,4
CooperHire,2020-02-12,"Berlin, Berlin, Germany",Berlin,Berlin,"Internet, Marketplace, Software",1-10,1,,Pre-Seed,2020-04-04,,1.0,,CooperHire is a candidate-led job marketplace that aims to alleviate the agony and aggravation of looking for a new job.,Internet,CooperHire Internet startup website,,,2000.0,500.0,1,,,,,1.08,historical,1.08,,,4
