Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
Reonic,2021,"Augsburg, Bayern, Germany","Renewable Energy, SaaS, Software,",11-50,2,"€13,000,000",Series A,"Sep 4, 2024","€13,000,000",3,2,Reonic is a climate-tech software company that focuses on renewable energy solutions.,Renewable Energy,Reonic Renewable Energy startup website,,,,
LI.FI,Aug 2021,"Berlin, Berlin, Germany","Blockchain, Finance, Financial Services,,,",11-50,2,"$23,000,000",Series A,"Mar 30, 2023","$17,500,000",33,23,LI.FI builds a multi-chain DeFi middleware for the application layer.,Blockchain,LI.FI Blockchain startup website,,260.2K,,
Flower Labs,2023,"Hamburg, Hamburg, Germany","Machine Learning, Open Source,,",11-50,2,"$23,600,000",Series A,"Feb 15, 2024","$20,000,000",9,19,"Flower is a federated learning, analytics, and evaluation platform.",Machine Learning,Flower Labs Machine Learning startup website,,"1,905",,6000.0
bunch,Nov 2021,"Berlin, Berlin, Germany","Financial Services, FinTech, Software",11-50,2,"$22,894,397",Series A,"Jul 25, 2024","$15,500,000",11,7,bunch technology is the Operating System for private markets.,Financial Services,bunch Financial Services startup website,,,,8000.0
Plancraft,Feb 2020,"Hamburg, Hamburg, Germany",SaaS,11-50,2,"€14,100,000",Series A,"Jun 5, 2024","€12,000,000",6,8,easy SaaS for craftsmen & contractors,SaaS,Plancraft SaaS startup website,,,7.485,2000.0
Heyflow,Feb 2020,"Hamburg, Hamburg, Germany",Software,11-50,3,"$22,000,000",Series A,"Feb 23, 2024","$16,000,000",5,17,Heyflow is a platform for interactive user experiences that requires no coding.,Software,Heyflow Software startup website,,,,9000.0
Y42,2020,"Berlin, Berlin, Germany","Analytics, Business Intelligence,,,,",51-100,2,"$33,900,000",Series A,"Oct 25, 2021","$31,000,000",4,11,Y42 is the first fully managed Modern DataOps Cloud for production-ready data pipelines on top of Google BigQuery and Snowflake.,Analytics,Y42 Analytics startup website,,,,8000.0
Banxware,2020,"Berlin, Berlin, Germany","Banking, Financial Services, FinTech,,",51-100,3,"€29,000,000",Series A,"Nov 30, 2023","€15,000,000",11,23,Banxware provides the technology and the funds for business financing of any kind: fully embedded in platforms or as an affiliate solution,Banking,Banxware Banking startup website,,,345,6000.0
Tomorrow University of Applied Sciences,"Nov 1, 2020","Berlin, Berlin, Germany","E-Learning, Education",51-100,3,"€13,800,000",Series A,"Jun 12, 2023","€9,300,000",15,10,"Online university for sustainability, entrepreneurship, and tech. Learn from world-renowned experts.",E-Learning,Tomorrow University of Applied Sciences E-Learning startup website,,,11.7K,13000.0
MARKT-PILOT,Apr 2020,"Esslingen, Baden-Wurttemberg,","Analytics, Machinery Manufacturing,,",51-100,2,"$49,735,894",Series A,"Apr 23, 2024","$43,000,000",2,18,MARKT-PILOT develops software to optimize machine manufacturers' spare parts business through market-driven pricing.,Analytics,MARKT-PILOT Analytics startup website,,,303,
